source,target,value
Groupage,USA ,4.207
Groupage,Vietnam,0.783
Machinery,Belgium ,0.138
Machinery,Brazil ,0.024
Machinery,China ,0.035
Machinery,Egypt ,0.006
Machinery,Finland ,0.085
Machinery,France ,0.249
Machinery,Germany ,1.348
Machinery,Hongkong ,0.029
Machinery,Ireland ,1.011
Machinery,Latvia ,0.055
Machinery,Lithuania ,0.077
Machinery,Malaysia ,0.018
Machinery,Netherlands ,0.705
Machinery,Norway ,0.288
Machinery,Other countries ,1.782
Machinery,Poland ,0.210
Machinery,Portugal ,0.092
Machinery,Russia ,3.818
Machinery,Saudi Arabia ,0.001
Machinery,Singapore ,0.579
Machinery,South Korea ,0.239
Machinery,Spain ,0.251
Machinery,Sweden ,4.464
Machinery,Turkey ,0.569
Machinery,United Kingdom ,3.504
Machinery,USA ,1.008
Oil and fuel,Belgium ,0.012
Oil and fuel,France ,0.054
Oil and fuel,Germany ,0.039
Oil and fuel,Ireland ,0.022
Oil and fuel,Netherlands ,0.013
Oil and fuel,Norway ,0.010
Oil and fuel,Poland ,0.201
Oil and fuel,Russia ,0.044
Oil and fuel,Singapore ,0.021
Oil and fuel,South Korea ,0.020
Oil and fuel,Spain ,0.256
Oil and fuel,Sweden ,0.031
Oil and fuel,United Kingdom ,0.998
Oil and fuel,USA ,0.128
Waste,Belgium ,0.182
Waste,Brazil ,0.114
Waste,China ,0.053
Waste,France ,0.049
Waste,Germany ,0.230
Waste,Ireland ,0.048
Waste,Lithuania ,0.011
Waste,Netherlands ,1.567
Waste,Norway ,0.345
Waste,Other countries ,0.157
Waste,Poland ,0.017
Waste,Portugal ,0.025
Waste,South Korea ,0.071
Waste,Spain ,5.021
Waste,Sri Lanka ,0.061
Waste,Sweden ,0.130
Waste,United Kingdom ,0.929
Waste,USA ,0.168
Waste,Vietnam,0.045
Wood and textiles,Belgium ,0.772
Wood and textiles,Brazil ,0.353
Wood and textiles,China ,0.033
Wood and textiles,Finland ,0.445
Wood and textiles,France ,1.164
Wood and textiles,Germany ,2.190
Wood and textiles,Hongkong ,0.012
Wood and textiles,Ireland ,1.901
Wood and textiles,Latvia ,0.099
Wood and textiles,Lithuania ,0.360
Wood and textiles,Netherlands ,3.404
Wood and textiles,Norway ,1.855
Wood and textiles,Other countries ,6.261
Wood and textiles,Poland ,1.902
Wood and textiles,Portugal ,2.148
Wood and textiles,Russia ,3.741
Wood and textiles,Singapore ,1.116
Wood and textiles,South Korea ,0.724
Wood and textiles,Spain ,4.205
Wood and textiles,Sri Lanka ,0.023
Wood and textiles,Sweden ,5.768
Wood and textiles,Turkey ,0.553
Wood and textiles,United Arab Emirates ,0.120
Wood and textiles,United Kingdom ,10.168
Wood and textiles,USA ,2.408
