source,target,value
Oil and fuel,Sri Lanka ,0.026
Oil and fuel,Sweden ,0.299
Oil and fuel,United Kingdom ,0.159
Waste,Belgium ,0.428
Waste,China ,49.917
Waste,France ,0.039
Waste,Germany ,0.763
Waste,Hongkong,4.271
Waste,India ,1.880
Waste,Ireland ,0.016
Waste,Malaysia,0.062
Waste,Netherlands ,0.900
Waste,Norway ,0.011
Waste,Pakistan ,0.077
Waste,Poland ,0.005
Waste,Portugal ,0.037
Waste,Russia ,0.100
Waste,Singapore ,2.121
Waste,South Korea ,8.825
Waste,Spain ,0.462
Waste,Sri Lanka ,0.450
Waste,Sweden ,0.016
Waste,Thailand,0.021
Waste,United Arab Emirates ,1.454
Waste,United Kingdom ,1.271
Wood and textiles,Belgium ,0.897
Wood and textiles,China ,7.137
Wood and textiles,Finland ,1.128
Wood and textiles,France ,2.445
Wood and textiles,Germany ,1.629
Wood and textiles,Greece ,4.533
Wood and textiles,India ,8.061
Wood and textiles,Ireland ,18.446
Wood and textiles,Latvia ,0.075
Wood and textiles,Lithuania ,0.281
Wood and textiles,Netherlands ,14.957
Wood and textiles,Norway ,3.593
Wood and textiles,Other countries ,5.768
Wood and textiles,Poland ,2.078
Wood and textiles,Portugal ,5.019
Wood and textiles,Russia ,2.161
Wood and textiles,Saudi Arabia ,0.071
Wood and textiles,Singapore ,0.369
Wood and textiles,Spain ,23.124
Wood and textiles,Sri Lanka ,4.305
Wood and textiles,Sweden ,17.083
Wood and textiles,United Arab Emirates ,0.756
Wood and textiles,United Kingdom ,50.710
Wood and textiles,USA ,0.081
