source,target,value
Machinery,Sweden ,1.260
Machinery,Taiwan ,10.028
Machinery,Thailand ,1.149
Machinery,Turkey ,1.206
Machinery,United Arab Emirates ,31.727
Machinery,United Kingdom ,3.947
Machinery,USA ,48.338
Machinery,Vietnam ,5.954
Oil and fuel,Belgium ,0
Oil and fuel,Brazil ,0
Oil and fuel,China ,3.199
Oil and fuel,Egypt ,0.043
Oil and fuel,Finland ,0.091
Oil and fuel,France ,0.124
Oil and fuel,Germany ,0
Oil and fuel,Greece ,1.618
Oil and fuel,Hongkong ,0.141
Oil and fuel,India ,8.312
Oil and fuel,Indonesia ,0.117
Oil and fuel,Ireland ,0.100
Oil and fuel,Japan ,2.744
Oil and fuel,Latvia ,0.034
Oil and fuel,Lithuania ,0.022
Oil and fuel,Malaysia ,2.591
Oil and fuel,Netherlands ,0.755
Oil and fuel,Norway ,9.181
Oil and fuel,Other countries ,7.089
Oil and fuel,Pakistan ,0.158
Oil and fuel,Poland ,0
Oil and fuel,Portugal ,0.388
Oil and fuel,Russia ,0.171
Oil and fuel,Saudi Arabia ,0.937
Oil and fuel,Singapore ,2.578
Oil and fuel,South Korea ,0.040
Oil and fuel,Spain ,3.046
Oil and fuel,Sri Lanka ,1.525
Oil and fuel,Sweden ,7.444
Oil and fuel,Taiwan ,0.082
Oil and fuel,Thailand ,0.426
Oil and fuel,Turkey ,0.059
Oil and fuel,United Arab Emirates ,1.051
Oil and fuel,United Kingdom ,3.361
Oil and fuel,USA ,1.057
Oil and fuel,Vietnam ,0.928
Waste,Belgium ,0
Waste,Brazil ,0
Waste,China ,286.363
Waste,Egypt ,0.069
Waste,Finland ,0
Waste,France ,0.091
Waste,Germany ,0.156
Waste,Greece ,0.302
Waste,Hongkong ,30.141
Waste,India ,79.802
Waste,Indonesia ,38.532
Waste,Ireland ,0.286
Waste,Japan ,1.875
Waste,Latvia ,0
Waste,Lithuania ,0.229
Waste,Malaysia ,15.647
Waste,Netherlands ,25.291
Waste,Norway ,6.985
Waste,Other countries ,33.528
Waste,Pakistan ,27.095
Waste,Poland ,0.075
Waste,Portugal ,0.261
Waste,Russia ,0
Waste,Saudi Arabia ,0.154
Waste,Singapore ,17.776
Waste,South Korea ,15.062
Waste,Spain ,1.266
Waste,Sri Lanka ,39.685
Waste,Sweden ,9.317
Waste,Taiwan ,12.146
Waste,Thailand ,3.432
Waste,Turkey ,0.503
Waste,United Arab Emirates ,4.833
Waste,United Kingdom ,12.585
Waste,USA ,1.373
Waste,Vietnam ,23.128
Wood and textiles,Belgium ,5.430
Wood and textiles,Brazil ,11.921
Wood and textiles,China ,1178.616
Wood and textiles,Egypt ,51.376
Wood and textiles,Finland ,7.885
Wood and textiles,France ,5.035
Wood and textiles,Germany ,6.212
Wood and textiles,Greece ,32.757
Wood and textiles,Hongkong ,47.873
Wood and textiles,India ,198.350
Wood and textiles,Indonesia ,45.962
Wood and textiles,Ireland ,23.487
Wood and textiles,Japan ,425.562
Wood and textiles,Latvia ,8.516
Wood and textiles,Lithuania ,5.521
Wood and textiles,Malaysia ,81.986
Wood and textiles,Netherlands ,49.885
Wood and textiles,Norway ,8.001
Wood and textiles,Other countries ,347.354
Wood and textiles,Pakistan ,48.128
Wood and textiles,Poland ,1.359
Wood and textiles,Portugal ,50.541
Wood and textiles,Russia ,16.489
Wood and textiles,Saudi Arabia ,91.460
Wood and textiles,Singapore ,166.765
Wood and textiles,South Korea ,168.503
Wood and textiles,Spain ,53.382
Wood and textiles,Sri Lanka ,68.507
Wood and textiles,Sweden ,6.498
Wood and textiles,Taiwan ,122.728
Wood and textiles,Thailand ,40.830
Wood and textiles,Turkey ,42.350
Wood and textiles,United Arab Emirates ,95.983
Wood and textiles,United Kingdom ,52.903
Wood and textiles,USA ,100.819
Wood and textiles,Vietnam ,43.492
