source,target,value,shortname
Machinery,Other countries ,81.493,Machinery
Machinery,Pakistan ,2.909,Machinery
Machinery,Poland ,29.904,Machinery
Machinery,Portugal ,20.082,Machinery
Machinery,Russia ,203.829,Machinery
Machinery,Saudi Arabia ,21.157,Machinery
Machinery,Singapore ,32.534,Machinery
Machinery,South Korea ,8.891,Machinery
Machinery,Spain ,24.442,Machinery
Machinery,Sri Lanka ,6.966,Machinery
Machinery,Sweden ,133.688,Machinery
Machinery,Taiwan ,10.028,Machinery
Machinery,Thailand ,1.149,Machinery
Machinery,Turkey ,1.789,Machinery
Machinery,UAE ,32.601,Machinery
Machinery,United Kingdom ,207.435,Machinery
Machinery,USA ,50.319,Machinery
Machinery,Vietnam ,5.954,Machinery
Building materials,Belgium ,23.535,Building materials
Building materials,Brazil ,18.834,Building materials
Building materials,China ,120.561,Building materials
Building materials,Egypt ,1.103,Building materials
Building materials,Finland ,24.088,Building materials
Building materials,France ,20.166,Building materials
Building materials,Germany ,20.436,Building materials
Building materials,Greece ,4.257,Building materials
Building materials,Hongkong ,2.179,Building materials
Building materials,India ,14.963,Building materials
Building materials,Indonesia ,29.053,Building materials
Building materials,Ireland ,68.471,Building materials
Building materials,Japan ,13.46,Building materials
Building materials,Latvia ,4.733,Building materials
Building materials,Lithuania ,6.161,Building materials
Building materials,Malaysia ,5.971,Building materials
Building materials,Netherlands ,33.084,Building materials
Building materials,Norway ,73.697,Building materials
Building materials,Other countries ,64.645,Building materials
Building materials,Pakistan ,2.566,Building materials
Building materials,Poland ,10.617,Building materials
Building materials,Portugal ,18.242,Building materials
Building materials,Russia ,128.833,Building materials
Building materials,Saudi Arabia ,6.995,Building materials
Building materials,Singapore ,15.575,Building materials
Building materials,South Korea ,7.455,Building materials
Building materials,Spain ,31.046,Building materials
Building materials,Sri Lanka ,3.237,Building materials
Building materials,Sweden ,40.065,Building materials
Building materials,Taiwan ,10.172,Building materials
Building materials,Thailand ,2.533,Building materials
Building materials,Turkey ,3.531,Building materials
Building materials,UAE ,11.287,Building materials
Building materials,United Kingdom ,81.782,Building materials
Building materials,USA ,34.857,Building materials
Building materials,Vietnam ,8.258,Building materials
Waste,Belgium ,0.964,Waste
Waste,Brazil ,0.253,Waste
Waste,China ,336.333,Waste
Waste,Egypt ,0.069,Waste
Waste,Finland ,0.114,Waste
Waste,France ,0.439,Waste
Waste,Germany ,2.052,Waste
Waste,Greece ,0.302,Waste
Waste,Hongkong ,34.412,Waste
Waste,India ,86.261,Waste
Waste,Indonesia ,38.532,Waste
Waste,Ireland ,1.076,Waste
Waste,Japan ,1.875,Waste
Waste,Lithuania ,0.288,Waste
Waste,Malaysia ,15.709,Waste
Waste,Netherlands ,27.826,Waste
Waste,Norway ,7.454,Waste
Waste,Other countries ,35.595,Waste
Waste,Pakistan ,29.498,Waste
Waste,Poland ,0.127,Waste
Waste,Portugal ,0.584,Waste
Waste,Russia ,0.372,Waste
Waste,Saudi Arabia ,0.154,Waste
Waste,Singapore ,20.219,Waste
Waste,South Korea ,23.958,Waste
Waste,Spain ,8.828,Waste
Waste,Sri Lanka ,40.196,Waste
Waste,Sweden ,10.164,Waste
Waste,Taiwan ,12.146,Waste
Waste,Thailand ,3.453,Waste
Waste,Turkey ,0.503,Waste
Waste,UAE ,6.433,Waste
Waste,United Kingdom ,15.408,Waste
Waste,USA ,2.672,Waste
Waste,Vietnam ,23.173,Waste
Wood and textiles,Belgium ,126.269,Wood and textiles
Wood and textiles,Brazil ,16.046,Wood and textiles
Wood and textiles,China ,1189.921,Wood and textiles
Wood and textiles,Egypt ,55.662,Wood and textiles
Wood and textiles,Finland ,81.553,Wood and textiles
Wood and textiles,France ,76.971,Wood and textiles
Wood and textiles,Germany ,42.796,Wood and textiles
Wood and textiles,Greece ,49.733,Wood and textiles
Wood and textiles,Hongkong ,47.885,Wood and textiles
Wood and textiles,India ,225.014,Wood and textiles
Wood and textiles,Indonesia ,45.962,Wood and textiles
Wood and textiles,Ireland ,152.926,Wood and textiles
Wood and textiles,Japan ,426.346,Wood and textiles
Wood and textiles,Latvia ,22.093,Wood and textiles
Wood and textiles,Lithuania ,14.234,Wood and textiles
Wood and textiles,Malaysia ,82.087,Wood and textiles
Wood and textiles,Netherlands ,102.35,Wood and textiles
Wood and textiles,Norway ,81.596,Wood and textiles
Wood and textiles,Other countries ,402.823,Wood and textiles
Wood and textiles,Pakistan ,50.616,Wood and textiles
Wood and textiles,Poland ,61.972,Wood and textiles
Wood and textiles,Portugal ,106.5,Wood and textiles
Wood and textiles,Russia ,194.178,Wood and textiles
Wood and textiles,Saudi Arabia ,92.261,Wood and textiles
Wood and textiles,Singapore ,169.309,Wood and textiles
Wood and textiles,South Korea ,169.247,Wood and textiles
Wood and textiles,Spain ,114.237,Wood and textiles
Wood and textiles,Sri Lanka ,73.035,Wood and textiles
Wood and textiles,Sweden ,130.784,Wood and textiles
Wood and textiles,Taiwan ,122.728,Wood and textiles
Wood and textiles,Thailand ,40.83,Wood and textiles
Wood and textiles,Turkey ,47.108,Wood and textiles
Wood and textiles,UAE ,97.793,Wood and textiles
Wood and textiles,United Kingdom ,360.582,Wood and textiles
Wood and textiles,USA ,107.183,Wood and textiles
Wood and textiles,Vietnam ,43.492,Wood and textiles
